Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
4e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
5e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
6e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
7e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
8e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
9e-08,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.1e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.2e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.3e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.4e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.5e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.6e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.7e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.8e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
1.9e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.1e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.2e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.3e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.4e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.5e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.6e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.7e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.8e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
2.9e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.1e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.2e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.3e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.4e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.5e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.6e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.7e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.8e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
3.9e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
4e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
4.1e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
4.2e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
4.3e-07,18,677,0,0,None,None,None,0.025899280575539568,None,0.025899280575539568
4.4e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
4.5e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
4.6e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
4.7e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
4.8e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
4.9e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.1e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.2e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.3e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.4e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.5e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.6e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.7e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.8e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
5.9e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.1e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.2e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.3e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.4e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.5e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.6e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.7e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.8e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
6.9e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
7e-07,18,676,0,1,None,None,0.9985228951255539,0.027338129496402876,None,0.025936599423631124
