Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.01,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.02,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.03,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.04,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.05,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.06,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.07,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.08,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.09,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.1,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.11,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.12,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.13,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.14,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.15,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.16,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.17,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.18,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.19,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.2,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.21,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.22,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.23,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.24,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.25,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.26,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.27,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.28,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.29,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.3,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.31,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.32,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.33,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.34,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.35,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.36,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.37,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.38,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.39,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.4,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.41,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.42,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.43,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.44,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.45,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.46,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.47,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.48,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.49,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.5,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.51,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.52,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.53,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.54,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.55,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.56,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.57,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.58,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.59,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.6,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.61,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.62,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.63,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.64,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.65,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.66,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.67,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.68,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.69,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.7,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.71,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.72,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.73,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.74,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.75,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.76,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.77,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.78,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.79,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.8,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.81,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.82,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.83,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.84,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.85,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
0.86,18,687,0,0,None,None,None,0.02553191489361702,None,0.02553191489361702
