Threshold,TP,FP,FN,TN,F1,TPR,FPR,Accuracy,FNR,PPV
0.0,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
1e-08,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
2e-08,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
3e-08,16,689,0,0,None,None,None,0.02269503546099291,None,0.02269503546099291
4e-08,16,688,0,1,None,None,0.9985486211901307,0.024113475177304965,None,0.022727272727272728
5e-08,16,688,0,1,None,None,0.9985486211901307,0.024113475177304965,None,0.022727272727272728
6e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
7e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
8e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
9e-08,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
1e-07,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
1.1e-07,16,687,0,2,None,None,0.9970972423802612,0.02553191489361702,None,0.02275960170697013
1.2e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.3e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.4e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.5e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.6e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.7e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.8e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
1.9e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.1e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.2e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.3e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.4e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.5e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.6e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.7e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.8e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
2.9e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.1e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.2e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.3e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.4e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.5e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.6e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.7e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.8e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
3.9e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
4e-07,16,686,0,3,None,None,0.9956458635703919,0.02695035460992908,None,0.022792022792022793
4.1e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
4.2e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
4.3e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
4.4e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
4.5e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
4.6e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
4.7e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
4.8e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
4.9e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
5e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
5.1e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
5.2e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
5.3e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
5.4e-07,16,685,0,4,None,None,0.9941944847605225,0.028368794326241134,None,0.02282453637660485
5.5e-07,16,684,0,5,None,None,0.9927431059506531,0.029787234042553193,None,0.022857142857142857
5.6e-07,16,684,0,5,None,None,0.9927431059506531,0.029787234042553193,None,0.022857142857142857
5.7e-07,16,684,0,5,None,None,0.9927431059506531,0.029787234042553193,None,0.022857142857142857
5.8e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
5.9e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6.1e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6.2e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6.3e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6.4e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6.5e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6.6e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6.7e-07,16,683,0,6,None,None,0.9912917271407837,0.031205673758865248,None,0.022889842632331903
6.8e-07,16,681,0,8,None,None,0.988388969521045,0.03404255319148936,None,0.02295552367288379
6.9e-07,16,681,0,8,None,None,0.988388969521045,0.03404255319148936,None,0.02295552367288379
7e-07,16,681,0,8,None,None,0.988388969521045,0.03404255319148936,None,0.02295552367288379
7.1e-07,16,681,0,8,None,None,0.988388969521045,0.03404255319148936,None,0.02295552367288379
